US_ID	s_manual_trinary	s_svm_trinary	s_lexicoder_trinary	s_huliu_trinary	s_geninq_trinary	s_LoughranMcDonald_trinary	s_roBERTa_trinary
10011	0	0	-1	1	1	-1	0
10014	-1	0	1	1	1	1	0
10018	0	-1	0	-1	0	0	-1
10020	-1	-1	-1	1	-1	-1	0
10022	0	-1	1	1	-1	-1	-1
10030	0	0	1	1	0	0	-1
10033	0	0	0	1	0	-1	-1
10034	0	0	1	0	1	-1	0
10042	0	0	1	1	0	0	-1
10045	-1	-1	-1	-1	-1	-1	-1
10050	-1	-1	1	-1	0	-1	-1
10056	-1	0	-1	-1	-1	-1	-1
10060	0	0	0	1	-1	1	1
10063	-1	1	1	1	0	1	1
10064	0	1	1	1	0	1	0
10068	1	1	1	1	1	1	1
10070	0	0	1	1	0	1	0
10071	0	0	1	1	1	1	1
10081	0	0	-1	-1	1	-1	0
10085	0	0	1	1	1	0	0
10089	0	0	1	1	-1	-1	0
10094	0	0	-1	1	1	0	0
10101	0	0	0	1	1	-1	0
10109	0	0	1	1	1	-1	0
10117	0	0	-1	1	1	-1	0
10129	0	0	-1	-1	1	-1	0
10133	0	-1	-1	0	-1	0	-1
10141	0	0	1	1	-1	-1	0
10145	0	0	1	1	-1	0	-1
10150	0	0	-1	-1	-1	-1	-1
10153	0	0	0	-1	0	-1	0
10154	1	0	1	1	1	1	0
10156	0	0	1	0	-1	-1	-1
10157	1	1	1	0	-1	-1	-1
10160	-1	0	-1	-1	-1	-1	-1
10162	0	0	-1	-1	-1	0	-1
10171	0	0	1	0	1	-1	0
10185	0	0	-1	-1	1	-1	0
10189	1	1	1	1	0	1	0
10191	0	0	1	1	1	1	1
10193	0	0	0	1	0	0	0
10198	0	0	1	1	0	0	0
10203	0	0	1	1	0	1	0
10205	0	0	1	1	1	1	0
10209	0	0	-1	-1	0	-1	-1
10213	0	0	1	0	-1	-1	-1
10215	0	0	-1	-1	-1	0	0
10219	0	0	1	1	1	0	1
10220	0	0	1	-1	0	0	0
10224	0	0	1	1	1	0	0
10227	1	0	1	1	1	0	-1
10228	0	0	1	1	0	-1	-1
10233	0	0	-1	-1	-1	-1	-1
10234	0	0	1	1	1	1	1
10239	-1	-1	1	-1	1	0	-1
10245	-1	0	-1	-1	-1	-1	0
10254	-1	-1	-1	1	1	1	0
10256	0	0	1	1	1	0	0
10264	0	0	1	1	0	0	0
10268	0	0	1	1	1	1	0
10271	1	0	-1	0	-1	-1	0
10275	0	0	1	1	1	1	0
10288	0	0	-1	0	-1	-1	-1
10294	0	0	-1	-1	0	-1	-1
10300	0	0	-1	-1	-1	-1	-1
10305	0	0	-1	-1	0	-1	-1
10310	0	0	1	1	1	0	1
10314	0	0	1	0	1	-1	0
10323	0	1	1	1	1	1	0
10327	0	0	1	1	1	1	-1
10336	0	0	1	1	1	1	0
10339	1	0	1	1	1	1	1
10342	0	0	1	1	1	1	0
10345	0	0	-1	-1	1	0	0
10351	0	-1	-1	-1	0	-1	0
10362	0	0	1	1	1	-1	0
10363	0	0	0	0	0	0	0
10370	1	0	1	1	1	-1	0
10375	1	0	1	1	1	0	1
10379	0	0	1	1	1	-1	0
10388	0	0	-1	1	1	-1	0
10400	1	0	1	1	1	-1	0
10406	1	0	1	0	1	0	0
10417	1	0	1	1	1	1	1
10420	1	-1	1	1	0	0	-1
10423	1	1	1	1	1	1	1
10428	0	1	1	1	1	0	0
10437	0	0	1	1	-1	0	0
10446	1	0	1	1	0	-1	-1
10452	1	0	1	1	1	1	1
10453	0	1	0	1	1	1	0
10454	0	1	0	1	1	1	0
10460	0	0	1	1	1	0	0
10467	0	0	1	1	1	-1	0
10475	0	0	-1	-1	-1	-1	0
10479	0	0	-1	0	1	-1	0
10485	0	0	-1	1	1	-1	-1
10491	0	0	-1	-1	1	-1	0
10498	0	-1	1	1	1	-1	0
10503	0	0	1	1	1	1	1
10512	0	0	1	1	1	1	0
10520	0	0	1	1	1	1	1
10528	0	0	1	1	1	1	1
10534	0	0	-1	-1	-1	-1	-1
10540	0	0	-1	0	-1	-1	-1
10550	0	0	-1	-1	-1	-1	-1
10554	0	0	1	1	0	1	-1
10561	0	0	1	0	1	-1	1
10572	0	0	1	1	1	1	1
10574	1	1	1	1	1	0	1
10578	0	0	-1	1	-1	0	0
10581	0	0	1	0	1	0	-1
10591	1	1	1	1	1	1	1
10593	1	1	1	1	1	0	0
10597	0	0	1	1	1	1	0
10600	-1	-1	1	0	1	-1	0
10602	0	0	1	1	1	-1	0
10607	0	-1	0	0	1	-1	0
10610	0	0	1	0	1	-1	0
10613	0	0	1	1	1	1	-1
10614	0	0	1	1	1	-1	0
10616	0	-1	1	1	1	-1	0
10619	0	0	1	0	1	-1	0
10621	0	0	1	0	-1	0	0
10624	0	0	1	1	1	0	0
10631	0	0	1	1	1	1	0
10633	0	0	1	1	1	0	0
10636	-1	-1	-1	-1	0	-1	0
10639	0	0	0	-1	1	0	0
10648	0	0	-1	-1	-1	-1	-1
10657	0	0	-1	-1	0	0	-1
10662	0	0	1	1	1	0	0
10663	0	0	1	0	1	0	0
10668	0	0	1	1	1	0	0
10672	0	0	1	0	1	1	0
10673	0	0	-1	-1	-1	0	0
10674	0	0	1	0	0	-1	0
10675	0	0	-1	-1	0	0	0
10677	0	0	1	-1	1	0	0
10682	0	0	1	1	1	0	0
10687	0	0	1	1	1	0	0
10688	0	0	1	1	-1	0	0
10690	0	0	0	1	0	0	0
10693	0	0	1	1	1	0	0
10694	0	0	1	1	1	0	0
10695	-1	0	-1	-1	-1	-1	0
10696	0	0	1	0	0	0	0
10698	-1	0	-1	1	0	-1	0
10699	0	0	1	1	0	-1	0
10700	0	0	1	1	0	-1	0
10702	0	0	-1	1	1	-1	0
10703	0	0	1	0	1	0	0
10708	0	0	-1	-1	-1	-1	-1
10710	0	0	1	0	0	0	-1
10717	0	0	1	1	0	1	-1
10721	0	-1	-1	1	1	0	-1
10724	0	-1	-1	1	1	0	-1
10730	-1	0	0	0	-1	0	-1
